FE-00-PAB:Open,E00001
FE-00-PAB:Close,E00002
FE-00-MGV:Open,E00003
FE-00-MGV:Close,E00004
FE-00-FCV:Trigger,E00005
FE-00-FCV:Open,E00006
FE-00-FCV:Close,E00007
FE-00-HMS:Open1,E00008
FE-00-HMS:Close1,E00009
FE-00-HMS:Open2,E00010
FE-00-HMS:Close2,E00011
FE-00-GV1:Open,E00012
FE-00-GV1:Close,E00013
FE-00-BLA:MGV-Push,E00014
FE-00-BLA:HMS-Push,E00015
FE-00-BLA:PAB-Push,E00016
FE-00-FE:BLA-Reset,E00017
FE-00-BLA:AutoOpen,E00018
FE-00-BLA:Emergency,E00019
FE-00-BLA:Vacuum,E00020
FE-00-BLA:Ready,E00021
FE-00-Safty:Enable1,E00022
FE-00-Safty:Enable2,E00023
FE-00-Safety:Emergency1,E00024
FE-00-Safety:Emergency2,E00025
FE-00-IG1:SetPoint1,E00026
FE-00-IG1:SetPoint2,E00027
FE-00-IG2:SetPoint1,E00028
FE-00-IG2:SetPoint2,E00029
FE-00-IP1:SetPoint1,E00030
FE-00-IP1:SetPoint2,E00031
FE-00-IP2:SetPoint1,E00032
FE-00-IP2:SetPoint2,E00033
FE-00-IPA:SetPoint1,E00034
FE-00-IPA:SetPoint2,E00035
FE-00-IPB:SetPoint1,E00036
FE-00-IPB:SetPoint2,E00037
FE-00-IPC:SetPoint1,E00038
FE-00-IPC:SetPoint2,E00039
FE-00-FS1:SetPoint,E00040
FE-00-FS2:SetPoint,E00041
FE-00-FS3:SetPoint,E00042
FE-00-FS4:SetPoint,E00043
FE-00-FS5:SetPoint,E00044
FE-00-FS6:SetPoint,E00045
FE-00-CP-Air:SetPoint,E00046
